product,quantity,due
16,5000,800
13,5000,500
8,5000,500
12,5000,900
5,5000,700
19,5000,600
29,5000,1000
12,5000,1200
14,5000,1000
25,5000,700
3,5000,800
4,5000,1000
20,5000,1300
3,5000,1100
14,5000,600
22,5000,1000
3,5000,900
14,5000,700
10,5000,1000
6,5000,500
14,5000,1300
23,5000,1100
8,5000,500
10,5000,700
8,5000,700
11,5000,900
7,5000,1000
23,5000,800
17,5000,1100
13,5000,600
28,5000,800
5,5000,700
30,5000,500
11,5000,1400
17,5000,1300
25,5000,1200
30,5000,900
13,5000,600
13,5000,1300
17,5000,1000
