current,minn,maxx
5100,5100,8000
30000,24000,30000
11000,9000,11000
20000,15000,20000
14000,10000,14000
28000,24000,28000
15000,10000,15000
10000,4000,10000
30000,18000,30000
60000,50000,60000
32000,25000,32000
30000,24000,30000
11000,9000,11000
20000,15000,20000
14000,10000,14000
28000,24000,28000
15000,10000,15000
10000,4000,10000
30000,18000,30000
60000,50000,60000
20000,15000,20000
14000,10000,14000
28000,24000,28000
15000,10000,15000
10000,4000,10000
30000,18000,30000
60000,50000,60000
32000,25000,32000
30000,24000,30000
60000,50000,60000
